id,Continent,Country,Country_Lower,latitude,longitude,Image Path,Easy Image Path
1,Asia,Afghanistan,afghanistan,33.9391,67.71,CountryImages/Afghanistan.png,Easy_CountryImages/Afghanistan.png
2,Europe,Albania,albania,41.1533,20.1683,CountryImages/Albania.png,Easy_CountryImages/Albania.png
3,Africa,Algeria,algeria,28.0339,1.65963,CountryImages/Algeria.png,Easy_CountryImages/Algeria.png
4,Europe,Andorra,andorra,42.5462,1.60155,CountryImages/Andorra.png,Easy_CountryImages/Andorra.png
5,Africa,Angola,angola,-11.2027,17.8739,CountryImages/Angola.png,Easy_CountryImages/Angola.png
6,North America,Antigua and Barbuda,antigua and barbuda,17.0608,-61.7964,CountryImages/Antigua and Barbuda.png,Easy_CountryImages/Antigua and Barbuda.png
7,South America,Argentina,argentina,-38.4161,-63.6167,CountryImages/Argentina.png,Easy_CountryImages/Argentina.png
8,Europe,Armenia,armenia,40.0691,45.0382,CountryImages/Armenia.png,Easy_CountryImages/Armenia.png
9,Oceania,Australia,australia,-25.2744,133.775,CountryImages/Australia.png,Easy_CountryImages/Australia.png
10,Europe,Austria,austria,47.5162,14.5501,CountryImages/Austria.png,Easy_CountryImages/Austria.png
11,Europe,Azerbaijan,azerbaijan,40.1431,47.5769,CountryImages/Azerbaijan.png,Easy_CountryImages/Azerbaijan.png
12,North America,Bahamas,bahamas,25.0343,-77.3963,CountryImages/Bahamas.png,Easy_CountryImages/Bahamas.png
13,Asia,Bahrain,bahrain,25.9304,50.6378,CountryImages/Bahrain.png,Easy_CountryImages/Bahrain.png
14,Asia,Bangladesh,bangladesh,23.685,90.3563,CountryImages/Bangladesh.png,Easy_CountryImages/Bangladesh.png
15,North America,Barbados,barbados,13.1939,-59.5432,CountryImages/Barbados.png,Easy_CountryImages/Barbados.png
16,Europe,Belarus,belarus,53.7098,27.9534,CountryImages/Belarus.png,Easy_CountryImages/Belarus.png
17,Europe,Belgium,belgium,50.5039,4.46994,CountryImages/Belgium.png,Easy_CountryImages/Belgium.png
18,North America,Belize,belize,17.1899,-88.4977,CountryImages/Belize.png,Easy_CountryImages/Belize.png
19,Africa,Benin,benin,9.30769,2.31583,CountryImages/Benin.png,Easy_CountryImages/Benin.png
20,Asia,Bhutan,bhutan,27.5142,90.4336,CountryImages/Bhutan.png,Easy_CountryImages/Bhutan.png
21,South America,Bolivia,bolivia,-16.2902,-63.5887,CountryImages/Bolivia.png,Easy_CountryImages/Bolivia.png
22,Europe,Bosnia and Herzegovina,bosnia and herzegovina,43.9159,17.6791,CountryImages/Bosnia and Herzegovina.png,Easy_CountryImages/Bosnia and Herzegovina.png
23,Africa,Botswana,botswana,-22.3285,24.6849,CountryImages/Botswana.png,Easy_CountryImages/Botswana.png
24,South America,Brazil,brazil,-14.235,-51.9253,CountryImages/Brazil.png,Easy_CountryImages/Brazil.png
25,Asia,Brunei,brunei,4.53528,114.728,CountryImages/Brunei.png,Easy_CountryImages/Brunei.png
26,Europe,Bulgaria,bulgaria,42.7339,25.4858,CountryImages/Bulgaria.png,Easy_CountryImages/Bulgaria.png
27,Africa,Burkina Faso,burkina faso,12.2383,-1.5616,CountryImages/Burkina Faso.png,Easy_CountryImages/Burkina Faso.png
28,Asia,Burma,burma,21.9162,95.956,CountryImages/Burma.png,Easy_CountryImages/Burma.png
29,Africa,Burundi,burundi,-3.37306,29.9189,CountryImages/Burundi.png,Easy_CountryImages/Burundi.png
30,Asia,Cambodia,cambodia,12.5657,104.991,CountryImages/Cambodia.png,Easy_CountryImages/Cambodia.png
31,Africa,Cameroon,cameroon,7.36972,12.3547,CountryImages/Cameroon.png,Easy_CountryImages/Cameroon.png
32,North America,Canada,canada,56.1304,-106.347,CountryImages/Canada.png,Easy_CountryImages/Canada.png
33,Africa,Cape Verde,cape verde,16.0021,-24.0132,CountryImages/Cape Verde.png,Easy_CountryImages/Cape Verde.png
34,Africa,Central African Republic,central african republic,6.61111,20.9394,CountryImages/Central African Republic.png,Easy_CountryImages/Central African Republic.png
35,Africa,Chad,chad,15.4542,18.7322,CountryImages/Chad.png,Easy_CountryImages/Chad.png
36,South America,Chile,chile,-35.6751,-71.543,CountryImages/Chile.png,Easy_CountryImages/Chile.png
37,Asia,China,china,35.8617,104.195,CountryImages/China.png,Easy_CountryImages/China.png
38,South America,Colombia,colombia,4.57087,-74.2973,CountryImages/Colombia.png,Easy_CountryImages/Colombia.png
39,Africa,Comoros,comoros,-11.875,43.8722,CountryImages/Comoros.png,Easy_CountryImages/Comoros.png
40,North America,Costa Rica,costa rica,9.74892,-83.7534,CountryImages/Costa Rica.png,Easy_CountryImages/Costa Rica.png
41,Europe,Croatia,croatia,45.1,15.2,CountryImages/Croatia.png,Easy_CountryImages/Croatia.png
42,North America,Cuba,cuba,21.5218,-77.7812,CountryImages/Cuba.png,Easy_CountryImages/Cuba.png
43,Europe,Cyprus,cyprus,35.1264,33.4299,CountryImages/Cyprus.png,Easy_CountryImages/Cyprus.png
44,Europe,Czech Republic,czech republic,49.8175,15.473,CountryImages/Czech Republic.png,Easy_CountryImages/Czech Republic.png
45,Africa,Democratic Republic of Congo,democratic republic of congo,-4.03833,21.7587,CountryImages/Democratic Republic of Congo.png,Easy_CountryImages/Democratic Republic of Congo.png
46,Europe,Denmark,denmark,56.2639,9.50179,CountryImages/Denmark.png,Easy_CountryImages/Denmark.png
47,Africa,Djibouti,djibouti,11.8251,42.5903,CountryImages/Djibouti.png,Easy_CountryImages/Djibouti.png
48,North America,Dominica,dominica,15.415,-61.371,CountryImages/Dominica.png,Easy_CountryImages/Dominica.png
